"num","name","url","info","likes","genre","img","administrators","bio","albums"
"","DPR","http://www.rockit.it/DPR","Band, Nuoro, Sardegna","1","Rock, Progressive, Pop rock ","url(/thumb700x250/foto/103528.jpg)","[""/user/DPR""]","\n<div class=""content-rece""><p>DPR  rock band Nuorese</p> <p>I DPR nascono nel 1988 e pubblicano due lavori in cassetta... Altri tempi.<br>\nLa band ha una intensa attivit&#xE0; live e suona in tutta Italia.<br>\nNel 1994 dopo un cambio di formazione registrano una demo tape.<br>\nSeguono vari cambi di formazione e si sciolgono nel 1996.<br>\nGianfranco, Angelo, Francesco e Raffaele continuano a suonare inseguendo idee e progetti diversi, a volte anche collaborando.<br>\nInfine nel 2013 anni la vecchia formazione si ricrea senza una vera intenzione di reunion, eppure in modo naturale si ritrova a fare musica assieme.<br>\nEntro il 2015 &#xE8; in programma la registrazione di 8 nuovi pezzi inediti.</p></div>\n","[]"
"","Dr. Jekyll and Mr. Hyde","http://www.rockit.it/jekyllandhyde","Band, bergamo (BG), Lombardia","0","Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/25673/dr-jekyll-and-mr-hyde-il-primo-essere-della-mia-specie"",""/user/Dr.JekyllandMr.Hyde""]","\n<div class=""content-rece""><p>Il progetto Dr. Jekyll and Mr. Hyde nasce dalla voglia del cantante Alessio Turco di portare sul palco di un concerto Rock tutta l&#x2019;esperienza acquisita come attore di teatro.<br>\nLe esibizioni sono caratterizzate da un ritmo serrato, creato dall&#x2019;alternarsi tra i brani e i brevi estratti recitati dell&#x2019;omonimo racconto di Stevenson.<br>\n<br>\nL&#x2019;espressione scaturita &#xE8; pura manifestazione del paradossale dell&#x2019;animo umano, il malizioso abbraccio tra gli opposti, la loro incomprensibile reciproca fascinazione. Dr. Jekyll and Mr. Hyde &#xE8; un seme energico, a volte nostalgico ed evocativo, a volte delicato, a volte stronzo e divertito.<br>\nNell&#x2019;aprile 2014 &#xE8; stato pubblicato il loro primo lavoro ufficiale, dal titolo &#x201C; Il primo essere della mia specie&#x201D;, con Linda Cuminetti al basso e Gabriele Mazza alla batteria.</p></div>\n","[{""name"":""Il primo essere della mia specie"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/25673.jpg"",""link"":""http://www.rockit.it/jekyllandhyde/album/il-primo-essere-della-mia-specie/25673""}]"
"","Dr. Konvulta?!","http://www.rockit.it/drkonvulta","Band, Piemonte","0","Lo-Fi, Indie, Alternativo ","url(/thumb700x250/foto/4260.jpg)","[""/user/konvulta"",""/user/metempsicotico""]","\n<div class=""content-rece""><p>Chitarre scordate, urla sguaiate, crepitii sommessi: questi sono gli elementi essenziali della musica proposta da Dr. Konvulta?! Una feroce aura di negativit&#xE0; lo divora: nessuno vuole suonare con lui. E lui non vuole suonare con nessuno. Anzi lui non vuole suonare proprio per niente ! Ma allora, perch&#xE8; continua a scassarci i timpani ?!</p></div>\n","[{""name"":""Dr. Konvulta?! - DEMO 2006"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/drkonvulta/album/dr-konvulta-demo-2006/5327""}]"
"","Dr. Med","http://www.rockit.it/drmed","Band, Veneto","0","Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
"","Dr. Zeiuss","http://www.rockit.it/drzeiuss","Band, Lombardia","0","Reggae, Crossover, Alternativo ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
"","Dr.Jakill & Mr.Punk","http://www.rockit.it/drjakillemrpunk","Band, Campania","0","Ska, Rock, Punk ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""><p>Suonavamo gi&#xE0; nella pancia delle nostre mamme....!!!!Penso ke si capisca tutto no!? &quot;Chi Ci accontenta GODE&quot; by Patane Records e Dr.Jakill &amp; Mr.Punk.....</p></div>\n","[]"
"","Dr.U","http://www.rockit.it/dru","Band, Roma (RO), Veneto","0","Rock, Hard Rock ","url(/thumb700x250/foto/70426.jpg)","[""/user/thebandDr.U""]","\n<div class=""content-rece""><p>I Dr.U nascono per opera del cantante C.C. (Chris Catena) intorno alle fine degli anni &#x2019;90.<br>\n<br>\nIl nome, volutamente modificato, si ispira ad una serie televisiva britannica intitolata Dottor Who, avente come protagonista un &#x201C;viaggiatore del tempo e dello spazio&#x201D; che si fa chiamare semplicemente, il Dottore, con storie avventurose che spaziano dalla fantascienza al racconto gotico.<br>\n<br>\nLa band, scioltasi dopo circa due anni di attivit&#xE0;, si ricostituisce nel 2009.<br>\n<br>\nIl cantante C.C., con l&#x2019;ausilio di Antonio Aronne (batterista, arrangiatore e compositore) inizia a registrare vecchie songs rielaborate e nuovi pezzi per un album solista che pian piano diviene un complicato progetto cui partecipano vari ospiti di fama sia a livello nazionale che internazionale; degni di menzione sono Earl Slick (gi&#xE0; chitarrista di David Bowie ora con le NY Dolls), Maurizio Solieri (Vasco Rossi), Shane Gibson (Korn), Andy e Livio (Bluvertigo), Olly (Shandon, The Fire, Rezophonic), Giacomo Castellano (Gianna Nannini, Raf, Vasco Rossi, Noemi), Andrea Viti (Afterhours), Uriah Duffy (Christina Aguilera, Alicia Keys, Whitesnake), Tina Guo (Foo Fighters, Santana, featuring cellist nel Michael Jackson: The Immortal World Tour con il Cirque du Soleil),Tony Franklin (Whitesnake, The Firm, Jimmy Page, Roy Harper, Vasco Rossi), Martyn LeNoble (The Cult, Porno for Pyros, Jane&#x2019;s Addiction), Victor Indrizzo (Queens of the Stone Age, Depeche Mode, Dave Gahan, Scott Weiland, etc) e molti altri. Anche Lisbeth Scott, cantante solista di molte colonne sonore di film di successo (quali Avatar, Sherlock Holmes, Narnia, Inception, Shreck, True Blood, Passion of the Christ, Trasformers) accetta di prender parte a questo progetto.<br>\n<br>\nNel 2010 il bassista Marco Fiormonti si unisce a C.C. ed Antonio Aronne divenendo il terzo membro stabile della band.<br>\n<br>\nDopo varie selezioni ed audizioni, i DR.U accolgono tra le loro file Mirko Turchetta e Pasquale Ruocco, entrambi alle chitarre.</p></div>\n","[{""name"":""Alieni Alienati"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/21169.jpg"",""link"":""http://www.rockit.it/dru/album/alieni-alienati/21169""}]"
"","Drabness","http://www.rockit.it/drabness","Band","0","Punk ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/12358/aavv-yes-we-punk-indiebox-compilation-vol4""]","\n<div class=""content-rece""></div>\n","[{""name"":""Demo"",""date"":"" 2007 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/drabness/album/demo/8035""},{""name"":""AA.VV – Yes we punk – Indiebox Compilation Vol.4"",""date"":"" 2009 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/12358.jpg"",""link"":""http://www.rockit.it/compilation/aavv-yes-we-punk-indiebox-compilation-vol4/12358""}]"
"","Dracula Drivers","http://www.rockit.it/draculadrivers","Band, Calabria","0","Rock'n'roll, Punk, Hardcore ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
"","Dracula Lewis","http://www.rockit.it/draculalewis","Band, Lombardia","1","Rock, Elettronico ","url(/thumb700x250/foto/68831.jpg)","[""/recensione/26815/dracula-lewis-technical-xtc"",""/articolo/mi-ami-2013-tutti-i-concerti"",""/recensione/20748/dracula-lewis-permafrost-12""]","\n<div class=""content-rece""><p>Despite a wealth of art and music projects under his wing, the<br>\nTransylvanian born producer remains something of a mystery<br>\nonline, even to those blogs that have loyally posted his tracks.<br>\nThe last few years have been spent living in a Milan squat,<br>\ncreating art installations, running an illegal club and his working<br>\non his own label Hundebiss Records, turning out exquisitely<br>\ncrafted limited origami-packaged records featuring the music of<br>\nsuch talents as James Ferraro, Hype Williams, Hair Police, Sewn<br>\nLeather, Jaws and more.<br>\nBut now Dracula Lewis&#x2BC; own music comes into the spotlight. His<br>\noutput is one of deep listening, lo-fi aggressive electronics, field<br>\nrecordings and, way down in its core, an underlying melody and<br>\nunexpected warmth.<br>\nAs Fact put it, Dracula Lewis makes &#x201C;expansive, pseudo-horrorflick<br>\nmusic that oscillates between ethereal ambience and<br>\ngrinding, zombie-attack noise freakouts&#x201D;.<br>\nWhatever the words used to describe Dracula Lewis, there&#x2BC;s a<br>\ndark magic and hypnotic allure to the distorted electronics,<br>\nsamples, chants &amp; loops. And it&#x2BC;s this magic that has earned him<br>\nthe accolade of being Souterrain Transmissions&#x2BC; first European<br>\nsigning.</p></div>\n","[{""name"":""Technical xtc"",""date"":"" 2014 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/26815.jpg"",""link"":""http://www.rockit.it/draculalewis/album/technical-xtc/26815""},{""name"":""Permafrost 12\""",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/20748.jpg"",""link"":""http://www.rockit.it/draculalewis/album/permafrost-12/20748""},{""name"":""Rockit Vol.49 - Speciale MI AMI 2013"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/22589.jpg"",""link"":""http://www.rockit.it/compilation/rockit-vol49-speciale-mi-ami-2013/22589""},{""name"":""Rockit Vol.44"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/21030.jpg"",""link"":""http://www.rockit.it/compilation/rockit-vol44/21030""},{""name"":""Top.100 2012 (51-100)"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/21059.jpg"",""link"":""http://www.rockit.it/compilation/top100-2012-51-100/21059""}]"
"","Draft","http://www.rockit.it/draft","Band, Emilia Romagna","0","Noise ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/news/gatto-ciliegia-calamita-cavriago"",""/news/sodastream-bob-corn-calamita""]","\n<div class=""content-rece""></div>\n","[]"
"","Draft [Lombardia]","http://www.rockit.it/draftlombardia","Band, Lombardia","0","Grunge ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/ciazio""]","\n<div class=""content-rece""></div>\n","[]"
"","DRAG","http://www.rockit.it/drag","Band, Salerno, Campania","0","Rock, Indie, Alternativo ","url(/thumb700x250/foto/122804.jpg)","[""/user/DRAG""]","\n<div class=""content-rece""><p>quattro giovani amici con la passione per il rock</p> <p>I DRAG nascono nel 2014 dall&apos;incontro tra Gabriele de Nardo, basso e voce e Davide Giudice, chitarra, tastiere e cori. Dopo aver coinvolto nel progetto Giovanni Russo, chitarra e Max Parisi alla batteria, nell&apos;aprile 2015 presentano il loro primo EP autoprodotto, &quot;DRAG - EP&quot;, e si esibiscono in vari locali nel salernitano e non solo. <br>\nNel Settembre 2015 iniziano i lavori al secondo EP, previsto per la primavera 2016.</p></div>\n","[{""name"":""DRAG - EP"",""date"":"" 2016 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/drag/album/drag-ep/33926""}]"
"","Dragonhammer","http://www.rockit.it/dragonhammer","Band, Lazio","0","Metal ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[{""name"":""Time For Expiation"",""date"":"" 2015 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/31236.jpg"",""link"":""http://www.rockit.it/dragonhammer/album/time-for-expiation/31236""},{""name"":""Blood Of The Dragon"",""date"":"""",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/dragonhammer/album/blood-of-the-dragon/31234""},{""name"":""Blood Of The Dragon"",""date"":"""",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/dragonhammer/album/blood-of-the-dragon/31235""}]"
"","Dragster Baby!","http://www.rockit.it/dragsterbaby","Band, Piemonte","0","Rock, Pop, Indie ","url(/thumb700x250/foto/3064.jpg)","[""/recensione/4292/dragster-baby-4play"",""/news/live-torino-dragsterbaby"",""/news/appuntamento-live-dragster-baby"",""/user/dragbaby""]","\n<div class=""content-rece""><p>Il nostro progetto nasce da lontano, dall&apos;estate del 1998, davanti alle vasche di vinile fumante di Backdoor (negozio d&apos;idee musicali della nostra Torino), dall&apos;incontro fortuito di Luigi e Federico, entrambi animati dall&apos;idea di provare a creare buona musica (modesti, eh?). La prima esperienza, i disciolti Blamachine (che annoveravano gi&#xE0; Simona alla voce), non dur&#xF2; a lungo, ma prosegu&#xEC; la collaborazione tra i due &quot;padri fondatori&quot;, ispirati dalla lezione dei Cramps con uno scarno rock&apos;n&apos;roll chitarra/batteria. Poi Simona si ricongiunse al duo, e ufficialmente nacquero i Dragster Baby! indier&#x2026;</p></div>\n","[{""name"":""4play"",""date"":"" 2005 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/4292.jpg"",""link"":""http://www.rockit.it/dragsterbaby/album/4play/4292""},{""name"":""Onde Medie / Onde Corte"",""date"":"" 2002 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/dragsterbaby/album/onde-medie-onde-corte/2505""}]"
"","Drak","http://www.rockit.it/drak","Band, Lazio","0","Metal, Alternativo ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/1858/drak-respect-live-in-studio""]","\n<div class=""content-rece""></div>\n","[{""name"":""Respect! Live in studio"",""date"":"" 2001 "",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/drak/album/respect-live-in-studio/1858""}]"
"","DRAKKAR","http://www.rockit.it/drakkar","Band, Lombardia","0","Metal ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/smoothbite""]","\n<div class=""content-rece""></div>\n","[{""name"":""Razorblade God"",""date"":"" 2002 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/31239.jpg"",""link"":""http://www.rockit.it/drakkar/album/razorblade-god/31239""},{""name"":""Gemini"",""date"":"" 2000 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/31238.jpg"",""link"":""http://www.rockit.it/drakkar/album/gemini/31238""},{""name"":""Quest For Glory"",""date"":"" 1998 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/31237.jpg"",""link"":""http://www.rockit.it/drakkar/album/quest-for-glory/31237""}]"
"","Drakmah","http://www.rockit.it/Drakmah","Band, Napoli, Campania","0","Rock, Elettronico  (NON PIU' ATTIVO)","url(/thumb700x250/nopic/noarticolo.jpg)","[""/recensione/23495/drakmah-over"",""/user/Drakmah""]","\n<div class=""content-rece""></div>\n","[{""name"":""Over!"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/23495.jpg"",""link"":""http://www.rockit.it/Drakmah/album/over/23495""}]"
"","DRAMA","http://www.rockit.it/sweetsilence","Band, Milano, Lombardia","0","Rock, Metal, Electro ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/DRAMA""]","\n<div class=""content-rece""></div>\n","[{""name"":""Sweet Silence"",""date"":"" 2012 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/19959.jpg"",""link"":""http://www.rockit.it/sweetsilence/album/sweet-silence/19959""},{""name"":""Causin' Drama"",""date"":"""",""cover"":""http://www.rockit.it/thumb200x200/nopic/nocd.jpg"",""link"":""http://www.rockit.it/sweetsilence/album/causin-drama/32326""}]"
"","Drama Emperor","http://www.rockit.it/dramaemperor1","Band, Marche","0","Rock, Industrial, Elettronico ","url(/thumb700x250/foto/74395.jpg)","[""/recensione/22322/drama-emperor-paternoster-in-betrieb"",""/user/mansun78""]","\n<div class=""content-rece""><p>rock ed elettronica tra le Marche e Berlino</p> <p>I Drama Emperor pubblicano &#x201C;Paternoster in betrieb&#x201D;, il loro disco di debutto, su Seahorse Recordings. Anticipato dal videoclip di &#x201C;Aber&#x201D;, questo lavoro d&apos;esordio arriva dopo l&apos;ep omonimo con cui il trio marchigiano s&apos;era fatto notare.<br>\n<br>\nOra Michele Caserta, Cristiano Ballarini e Simone Levantesi sfornano otto brani in cui si mischiano inglese, tedesco e un po&apos; d&apos;italiano e le suggestioni berlinesi compaiono tra parti strumentali e vocali. Il disco &#xE8; stato registrato nell&apos;autunno 2012 dai Drama Emperor mentre sul mastering c&apos;&#xE8; la firma di Paolo Messere.<br>\n<br>\n&quot;Paternoster in betrieb&#x201D; vanta anche parecchi ospiti. C&apos;&#xE8; il contributo vocale di GianMaria Annovi in &#x201C;Phraseloop&#x201D;, il sax di Stefano Zoppi e Saele Valese (string and tonal) in &#x201C;Second Floor&#x201D; e la collaborazione con il produttore Martin Bisi (gi&#xE0; al lavoro con Sonic Youth, Swans e John Zorn tra gli altri) in &#x201C;Tekincolor&#x201D;.<br>\n<br>\nWebsite: <a href=""http://www.dramaemperor.com"" target=""_blank"" rel=""nofollow"">www.dramaemperor.com</a><br>\n<br>\nmyspace: <a href=""http://www.myspace.com/DramaEmperor"" target=""_blank"" rel=""nofollow"">http://www.myspace.com/DramaEmperor</a><br>\n<br>\nfacebook: https://www.facebook.com/drama.emperor<br>\n<br>\nlabel: <a href=""http://www.seahorserecordings.com"" target=""_blank"" rel=""nofollow"">www.seahorserecordings.com</a><br>\n<br>\nbooking: <a href=""mailto:emiliano@grindinghalt.it"">emiliano@grindinghalt.it</a><br>\n<br>\npress: <a href=""mailto:mansun78@gmail.com"">mansun78@gmail.com</a></p></div>\n","[{""name"":""Paternoster in betrieb"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/22322.jpg"",""link"":""http://www.rockit.it/dramaemperor1/album/paternoster-in-betrieb/22322""}]"
"","Dramalove","http://www.rockit.it/dramalove","Band, Torino, Piemonte","0","Rock ","url(/thumb700x250/foto/80834.jpg)","[""/articolo/xfactor-band-provini"",""/recensione/23689/dramalove-stati-uniti-ditalia"",""/user/Dramalove""]","\n<div class=""content-rece""><p>Rock band di Torino (ITA)</p> <p>I Dramalove sono un trio alternative rock di Torino.<br>\nLa band &#xE8; composta dai due fratelli Diego e Riccardo Soncin e da Andrea Cilano.<br>\nIl progetto nasce dai due fratelli nel 2003, che percorrono la consueta &apos;gavetta&apos; con il nome NoGravity fino ad approdare al<br>\nSoundivision studio di Torino, dove nel 2007 registrano un demo di 7 tracce che li porta alla firma del primo contratto<br>\ndiscografico con la BlissCo di Massimo Gabutti.<br>\nL&apos;album di debutto &quot;Condannati A Sognare&quot; (Blissco, 2010) raggiunge le classifiche di vendita iTunes grazie ai singoli di<br>\nlancio &quot;Stelle&quot; e &quot;1000 Mila Domande&quot; e ai relativi videoclip, che incontrano il favore delle principali emittenti televisive<br>\nmusicali (Mtv, DeeJay Tv, Rock Tv) e li inserisce per tutto l&apos;anno tra le rock band pi&#xF9; chiacchierate del web italiano, con<br>\nrecensioni a pioggia sulle webzine e hype altissimo nei forum dedicati.<br>\nNel 2012 avviene la scissione del contratto discografico e la band, libera da vincoli, torna alle origini registrando nuovi demo<br>\nin maniera indipendente in sala prove fino ad arrivare all&apos;autoproduzione del singolo &#x201D;Stati Uniti d&apos;Italia&#x201D;.<br>\nSegue il singolo &quot;Oggi &#xE8; Quel Giorno&quot; (2 Ottobre 2014), che anticipa l&apos;uscita del nuovo EP in uscita a Maggio 2015, realizzato<br>\ngrazie al contributo dei supporter della band attraverso la piattaforma per il crowdfunding Music Raiser.<br>\nL&apos;album &#xE8; impreziosito dalla mano sapiente ai suoni di Luca Pellegrini dei Bonsai Studios, gi&#xE0; collaboratore per dischi<br>\nper Elisa e Negramaro.<br>\nIl punto di forza della band sono senz&apos;altro le performance live, dove l&apos;energia delle canzoni, unita al profondo significato dei<br>\ntesti (che spaziano dal sociale fino a trattare la re-incarnazione, il tempo, l&apos;amore e l&apos;universo) vanno a conferire un tratto unico<br>\ne distintivo della band. Il risultato &#xE8; un intreccio di melodia, potenza e stravaganza.<br>\nDiego &#xE8; l&apos;autore di tutti i testi delle canzoni, sia in italiano che in inglese.<br>\nLa band ha suonato in alcuni tra i pi&#xF9; importanti club e location del nord Italia, fra cui il Live Forum di Assago, l&apos;Hiroshima di<br>\nTorino, il Teatro Colosseo, Arezzo Wave Festival e il Colonia Sonora Festival.<br>\nRed Ronnie li ha selezionati tra pi&#xF9; di 1.000 band per esibirsi al suo Roxy Bar, e in seguito come special guests per il<br>\nMotorshow di Bologna.<br>\nHanno inoltre partecipato a molti concorsi nazionali, che li ha visti suonare sul palco insieme a Linea 77, Velvet e Casino<br>\nRoyale, e alle selezioni 2012 per l&apos;Heineken Jammin&apos; Festival arrivando in finale.</p></div>\n","[{""name"":""Stati Uniti d'Italia"",""date"":"" 2013 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/23689.jpg"",""link"":""http://www.rockit.it/dramalove/album/stati-uniti-ditalia/23689""},{""name"":""Condannati a Sognare"",""date"":"" 2010 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/21601.jpg"",""link"":""http://www.rockit.it/dramalove/album/condannati-a-sognare/21601""}]"
"","Drammagohtica","http://www.rockit.it/drammagohtica","Band, Campania","0","Metal, Gotico, Dark ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
"","Drammagothica","http://www.rockit.it/dramma","Band, Benevento, Campania","0","Metal, Gotico ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/user/dramma""]","\n<div class=""content-rece""><p>BIOGRAFIA I Drammagothica trovano origine nel 2001, una catena di eventi spinge Julian Iuliano e Marco Lombardi alla ricerca di suoni sinfonici e melodiosi ma allo stesso tempo incisivi e potenti. La fortuna gli permise di incontrare Lucia Penna (bass) e Carlo De Filippo (keys and synths) che da allora son parte integrante e fondamentale dei Drammagothica. Non ebbero fortuna invece nella ricerca della voce, furono spinti infatti a provare un tipo di voce femminile pulito e tenero che per&#xF2; non dava la giusta corposit&#xE0; ai brani. Il cambio di line-up consent&#xEC; l&#x2019;ingresso nella band di Manuela Romano, la quale restitu&#xEC; ai drammagothica l&#x2019;originaria idea di potenza con la sua affascinante voce lirica (gi&#xE0; da altre band gothic abbinata ai ritmi cavalcanti che il genere richiede). Con l&#x2019;entrata nella band di Luca Lombardi i Drammagothica acquisiscono l&#x2019;aspetto che ricercavano da tempo. La voce growl di Luca riusciva a bilanciare gli alti della voce femminile e a donare ai brani una base non solo ritmicamente incalzante ma anche cattivamente melodica. I Drammagothica continuano con questa formazione facendo sentire il proprio nome e la propria musica in tutta la loro provincia e non solo, infatti con la loro prima esperienza in studio registrano una demo di quattro tracce (INVER NO) definita dalla critica come espressione di un gothic metal molto sinfonico e neoclassico. Ma il tempo passa, le esperienze cambiano le persone e ne &#xE8; la dimostrazione una nuova line up con l&#x2019;avvento della nuova voce di Laura Santangelo che da la spinta necessaria ai Drammagothica per registrare il loro primo album (IRA) ricco di nuove idee e testimone della crescita del gruppo nel corso degli anni. BIOGRAPHY Drammagothica project finds its roots in 2001, a chain of events leads Julian Iuliano and Marco Lombardi seeking melodious and orchestral sounds but also strong and powerful. The fortune allowed them to meet Lucia Penna (Bass) and Carlo De Filippo (keys and synths) that are integral and fundamental part of Drammagothica for ages. But they didn&#x2019;t have fortune in the search for voice, in fact, they were driven to try a type of female clean and tender voice but that not gave the right body to the songs. The change of the line-up allowed the entry into the band of Manuela Romano, which returned to Drammagothica the original idea of power with her charming soprano voice (already used by other gothic metal bands combined with the strong rythms that the genre require). With the entry in the band of Luca Lombardi the Drammagothica acquire the aspect that had for a long time sought. Luca&#x2019;s growl voice managed to offset the treble of the female voice and to give songs more pressing rhythmically but also aggressively melodic. Drammagothica went on well with this line-up taking their name and their music throughout their province and not only because with their first experience in the studio they recorded a four-track demo (INVER NO) described by critics as an expression of symphonic and neoclassical gothic metal. But things change, the experiences change the people and this is demonstrate by a new line-up with the advent of the new female clean voice of Laura Santangelo that leads the impetus of the Drammagothica in a record of their first album (IRA) full of new ideas and witness of the growth of the group over the years. The latest line-up is: Laura Santangelo &#x2013; Female voice Luca Lombardi &#x2013; Growl&amp; male voice Carlo De Filippo &#x2013; Keyboards &#x2018;n&#x2019; synths Marco Lombardi &#x2013; Elettric &#x2018;n&#x2019; acoustic guitars Lucia Penna &#x2013; Bass Julian Iuliano &#x2013; Drums &#x2018;n&#x2019; percussions</p></div>\n","[{""name"":""Ira"",""date"":"" 2008 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9452.jpg"",""link"":""http://www.rockit.it/dramma/album/ira/9452""},{""name"":""Inver No"",""date"":"" 2006 "",""cover"":""http://www.rockit.it/thumb200x200/copertine/9453.jpg"",""link"":""http://www.rockit.it/dramma/album/inver-no/9453""}]"
"","Drastika","http://www.rockit.it/drastika","Band, Emilia Romagna","0","Punk ","url(/thumb700x250/nopic/noarticolo.jpg)","[]","\n<div class=""content-rece""></div>\n","[]"
"","Dream One","http://www.rockit.it/dreamone","Band, Emilia Romagna","0","Hard Rock ","url(/thumb700x250/nopic/noarticolo.jpg)","[""/news/marcosbanda-fiesta-rock""]","\n<div class=""content-rece""></div>\n","[]"
